iter	Logloss
396	0.1204546737
397	0.1201771723
398	0.1200115256
399	0.1198613785
400	0.119671346
401	0.1195429473
402	0.1193835661
403	0.1191879135
404	0.1190325049
405	0.1189661785
406	0.1187688142
407	0.1186620098
408	0.1185236558
409	0.1183343614
410	0.1181342456
411	0.1180000878
412	0.1178243929
413	0.1176993907
414	0.1175549566
415	0.1173970605
416	0.1172107806
417	0.1169702667
418	0.1167983881
419	0.1165968011
420	0.1162716635
421	0.1160923961
422	0.115916045
423	0.1157937449
424	0.1156217962
425	0.1155116992
426	0.1153685718
427	0.115179078
428	0.1150112851
429	0.1148279597
430	0.1146387883
431	0.1144612866
432	0.1143151731
433	0.1142078417
434	0.1139506159
435	0.1137706481
436	0.1135889379
437	0.1134705967
438	0.1132924863
439	0.1131362765
440	0.1129641291
441	0.112668962
442	0.1124171175
443	0.1122558011
444	0.1120984926
445	0.1119762864
446	0.111742776
447	0.1116288079
448	0.1115021555
449	0.1113258571
450	0.1112207275
451	0.1110516298
452	0.1109518344
453	0.1108348815
454	0.1107467759
455	0.1105982916
456	0.1103342298
457	0.1101442656
458	0.1098778013
459	0.1096534941
460	0.1095210568
461	0.1092779155
462	0.1091573634
463	0.1090641049
464	0.1089542706
465	0.1088391727
466	0.1087153428
467	0.1085448325
468	0.1083902634
469	0.1082131897
470	0.1080327278
471	0.1079215844
472	0.1077580241
473	0.1076062858
474	0.107393357
475	0.1072724759
476	0.1071351858
477	0.1069044853
478	0.1067285015
479	0.1065902486
480	0.1064205184
481	0.1062569448
482	0.1061108521
483	0.1059852603
484	0.1058223631
485	0.105701442
486	0.1055757311
487	0.1053854451
488	0.1052631762
489	0.105110991
490	0.1049754827
491	0.1047877868
492	0.1046757831
493	0.1045654424
494	0.1044033911
495	0.104273107
496	0.1040776069
497	0.1040233689
498	0.1038879743
499	0.1037889139
500	0.1036405543
501	0.1035198504
502	0.1033980683
503	0.1031744399
504	0.1030476859
505	0.102848683
506	0.1027545615
507	0.1026199414
508	0.1025015972
509	0.1024041255
510	0.1023111309
511	0.1022554828
512	0.1020245742
513	0.1019107157
514	0.1018030037
515	0.1016650773
516	0.1015339729
517	0.1012602486
518	0.1011545208
519	0.1010034931
520	0.1008301587
521	0.100719998
522	0.1005591129
523	0.1005034768
524	0.1003954831
525	0.100305544
526	0.1001824101
527	0.09999170849
528	0.09981939554
529	0.09968759197
530	0.09944558568
531	0.09927910619
532	0.09916976995
533	0.09894630805
534	0.09890227578
535	0.09876341955
536	0.09868985466
537	0.09856815975
538	0.09847250494
539	0.09839836231
540	0.09823035742
541	0.09815266746
542	0.09790762784
543	0.09779950671
544	0.09771947146
545	0.09758786317
546	0.09750180353
547	0.09738835613
548	0.09733108173
549	0.09721810959
550	0.0970755585
551	0.0968983952
552	0.09680307993
553	0.09667871232
554	0.09655589151
555	0.09644253773
556	0.09632442098
557	0.09615978049
558	0.09610641815
559	0.09589489431
560	0.095728733
561	0.09561212918
562	0.09546820972
563	0.09534870969
564	0.09519751681
565	0.09506654137
566	0.09496572364
567	0.09488639949
568	0.09484241596
569	0.09474139555
570	0.09460866172
571	0.09444374989
572	0.09435157405
573	0.09428923445
574	0.09416582838
575	0.09404511874
576	0.09395936415
577	0.09389012956
578	0.09367678835
579	0.09352141111
580	0.09344509444
581	0.09335406167
582	0.09328258744
583	0.09319953637
584	0.09307173872
585	0.09299694094
586	0.09288418738
587	0.09270837529
588	0.09262652756
589	0.09256275183
590	0.09250858304
591	0.09239829317
592	0.0922555213
593	0.09204512052
594	0.09194246316
595	0.09188321738
596	0.09171346967
597	0.09162604991
598	0.09153220296
599	0.09146631067
